request_number,response_time,response_size,language,first
1,0.9511232376098633,3528,Ruby,14
2,1.832503080368042,23330,Python,34
3,1.2769160270690918,6947,Java,22
4,0.964076042175293,4084,Kotlin,16
5,2.22874116897583,12867,C++,46
6,1.5437519550323486,1898,C++,7
7,1.2245311737060547,6953,Ruby,27
8,1.7929883003234863,14633,Java,48
9,1.5996010303497314,11215,Go,41
10,1.2937688827514648,9759,Swift,39
11,1.1694941520690918,3184,C++,12
12,1.9899890422821045,10464,C++,37
13,1.3763151168823242,5354,Ruby,21
14,0.904066801071167,2637,Ruby,10
15,1.3358509540557861,5079,Python,19
16,2.3348658084869385,11237,JavaScript,42
17,1.2205350399017334,6671,Java,21
18,1.7158358097076416,11012,Go,40
19,1.7891838550567627,9604,Ruby,37
20,1.875715970993042,24627,Python,38
21,2.0584161281585693,12885,JavaScript,48
22,1.1884889602661133,2177,Python,8
23,1.540489912033081,8324,Ruby,32
24,1.4205131530761719,5543,C++,21
25,2.0911097526550293,14085,C++,50
26,1.0540530681610107,5254,Go,20
27,2.5126469135284424,12528,Ruby,48
28,1.6238341331481934,25639,Python,42
29,1.4955480098724365,11119,Kotlin,40
30,1.7218670845031738,7471,JavaScript,29
31,1.2732772827148438,4101,Java,13
32,1.5827481746673584,6180,JavaScript,24
33,0.7627921104431152,800,Ruby,3
34,1.035093069076538,3280,Java,10
35,2.0156900882720947,8280,JavaScript,32
36,0.6719191074371338,1548,Swift,6
37,1.4785480499267578,7607,C++,27
38,1.3042259216308594,7817,Kotlin,29
39,1.3434031009674072,1307,JavaScript,5
40,1.2439172267913818,5354,Ruby,21
41,1.3025028705596924,4327,C++,16
42,1.0953710079193115,4827,Ruby,19
43,0.5846660137176514,800,Ruby,3
44,1.728132724761963,11189,Java,37
45,1.6828851699829102,13352,Kotlin,49
46,0.7581489086151123,1922,Go,7
47,0.8469440937042236,2388,Ruby,9
48,1.705003023147583,25639,Python,42
49,1.1691112518310547,6487,Swift,26
50,1.3788831233978271,7153,Go,26
51,1.5247809886932373,9371,Ruby,36
52,1.5341088771820068,23330,Python,34
53,2.195594072341919,26827,Python,47
54,0.9870002269744873,4084,Kotlin,16
55,1.048408031463623,585,JavaScript,2
56,1.195641040802002,12123,Kotlin,44
57,1.0825831890106201,6869,Kotlin,25
58,1.3399150371551514,5354,Ruby,21
59,1.889451026916504,10160,Ruby,39
60,1.3729228973388672,13151,Kotlin,48
61,1.5382330417633057,3533,JavaScript,14
62,1.380443811416626,11012,Go,40
63,1.0817370414733887,909,JavaScript,3
64,1.3925211429595947,7109,C++,25
65,0.9472548961639404,3702,Go,14
66,1.1395001411437988,6040,Swift,24
67,1.3262629508972168,10283,Swift,41
68,1.3772671222686768,8107,Go,29
69,0.9822180271148682,4511,Swift,18
70,2.317138195037842,10868,Ruby,42
71,1.4207379817962646,20379,Python,24
72,1.1912131309509277,2313,JavaScript,9
73,1.1689159870147705,3737,Ruby,15
74,1.8928098678588867,10465,Go,38
75,1.9222910404205322,12867,C++,46
76,1.0348289012908936,2177,Python,8
77,1.5622520446777344,5726,JavaScript,22
78,0.9616539478302002,2476,Go,9
79,1.5067470073699951,5354,Ruby,21
80,1.4971811771392822,12123,Kotlin,44
81,1.6636688709259033,15196,Java,50
82,1.6809682846069336,10465,Go,38
83,0.5911540985107422,800,Ruby,3
84,0.8063418865203857,3490,Swift,14
85,0.7781481742858887,2476,Go,9
86,1.71551513671875,9939,C++,35
87,1.5470831394195557,4293,JavaScript,17
88,1.3321969509124756,8664,Java,28
89,1.2094600200653076,2313,JavaScript,9
90,1.581923007965088,21232,Python,27
91,1.9937846660614014,23588,Python,35
92,1.8871338367462158,13270,Java,43
93,1.2714622020721436,7153,Go,26
94,0.5595550537109375,527,Ruby,2
95,1.578552007675171,6928,JavaScript,27
96,1.5869920253753662,5726,JavaScript,22
97,1.1657462120056152,3229,Swift,13
98,0.968756914138794,2177,Python,8
99,1.711967945098877,10097,JavaScript,38
100,0.831916093826294,2331,Java,6
101,1.1683349609375,2655,C++,10
102,1.7172048091888428,14922,Java,49
103,1.3246469497680664,7618,Java,24
104,1.7996890544891357,24121,Python,36
105,1.1691551208496094,3018,Python,11
106,2.705831289291382,9565,Kotlin,34
107,1.4767470359802246,10134,Go,37
108,1.0694260597229004,4084,Kotlin,16
109,0.9593710899353027,3945,Go,15
110,1.7910268306732178,8850,Go,32
111,1.4737868309020996,9371,Ruby,36
112,0.6524927616119385,684,Swift,3
113,0.8574950695037842,1459,Kotlin,6
114,2.26088285446167,12215,Ruby,47
115,2.4754831790924072,13102,JavaScript,49
116,1.427321195602417,5895,Ruby,23
117,0.9662899971008301,4968,Swift,20
118,0.8501219749450684,2727,Go,10
119,1.7889220714569092,20995,Python,26
120,1.4707310199737549,4386,Python,16
121,1.0645859241485596,6272,Go,23
122,1.6785888671875,10901,Java,36
123,1.2882599830627441,5827,Java,18
124,2.087238073348999,12058,JavaScript,45
125,0.9457600116729736,301,JavaScript,1
126,1.2683079242706299,5254,Go,20
127,1.2736928462982178,4482,Ruby,18
128,0.8603320121765137,1911,Ruby,7
129,1.585165023803711,10689,Swift,43
130,1.3104519844055176,10465,Go,38
131,2.1526222229003906,10464,C++,37
132,0.8360257148742676,1001,Java,3
133,2.099803924560547,13893,Go,49
134,1.2706718444824219,4620,Java,15
135,0.6710200309753418,246,Ruby,1
136,1.5584027767181396,11215,Go,41
137,1.4536142349243164,7109,C++,25
138,0.888742208480835,2727,Go,10
139,0.9606132507324219,568,C++,2
140,2.092590093612671,11823,JavaScript,44
141,1.3717758655548096,4808,C++,18
142,0.8614637851715088,3105,Kotlin,12
143,0.9613656997680664,1001,Java,3
144,0.6540708541870117,1841,Swift,7
145,1.3530457019805908,3829,Python,14
146,1.6425468921661377,24121,Python,36
147,0.8902149200439453,503,Python,2
148,0.7744028568267822,938,Swift,4
149,1.2758641242980957,5298,Java,16
150,1.3740348815917969,10937,Kotlin,39
151,2.3991317749023438,10333,JavaScript,39
152,1.6788089275360107,7879,Java,25
153,0.9330151081085205,225,Python,1
154,1.7573871612548828,5726,JavaScript,22
155,2.1452009677886963,13462,C++,48
156,1.164316177368164,6889,Go,25
157,1.167788028717041,6272,Go,23
158,1.574355125427246,3818,JavaScript,15
159,0.9652678966522217,5861,Swift,23
160,1.8350439071655273,26409,Python,45
161,1.6317780017852783,20379,Python,24
162,0.9633288383483887,3665,Kotlin,14
163,1.146897792816162,585,JavaScript,2
164,1.7044312953948975,5079,Python,19
165,1.4763641357421875,11119,Kotlin,40
166,1.0326869487762451,1076,JavaScript,4
167,2.366434097290039,12348,JavaScript,46
168,1.0966200828552246,6998,Swift,28
169,1.714102029800415,11215,Go,41
170,2.0894250869750977,13843,C++,49
171,1.8822009563446045,26827,Python,47
172,2.0861477851867676,13332,Go,47
173,2.226107120513916,12867,C++,46
174,2.0422098636627197,7722,JavaScript,30
175,1.6879189014434814,9604,Ruby,37
176,2.18904709815979,13102,JavaScript,49
177,2.294548988342285,7337,Java,23
178,1.9069247245788574,7471,JavaScript,29
179,1.7513329982757568,7243,JavaScript,28
180,0.6544442176818848,684,Swift,3
181,1.2607979774475098,7337,Java,23
182,1.5775198936462402,5726,JavaScript,22
183,1.4987189769744873,10493,Swift,42
184,1.5752367973327637,4293,JavaScript,17
185,0.858532190322876,2823,Ruby,11
186,0.9651920795440674,3469,Kotlin,13
187,1.7087070941925049,13893,Go,49
188,1.7376198768615723,11902,Ruby,46
189,0.9759440422058105,3005,Swift,12
190,1.7798621654510498,13270,Java,43
191,1.2679221630096436,2085,JavaScript,8
192,2.0940821170806885,10464,C++,37
193,1.1969308853149414,2584,JavaScript,10
194,0.930717945098877,2078,Swift,8
195,0.6594769954681396,246,Ruby,1
196,1.6804490089416504,6928,JavaScript,27
197,1.5763487815856934,7109,C++,25
198,1.0626130104064941,585,JavaScript,2
199,1.7840721607208252,10901,Java,36
200,0.6524059772491455,800,Ruby,3
201,0.7604079246520996,2078,Swift,8
202,2.1595778465270996,27370,Python,49
203,1.5133497714996338,19734,Python,23
204,1.7830579280853271,10724,C++,38
205,1.9732880592346191,11741,C++,42
206,1.3658790588378906,9861,Go,36
207,1.713653802871704,12252,Java,41
208,1.3879969120025635,7337,Java,23
209,1.7548727989196777,6928,JavaScript,27
210,1.3684139251708984,20674,Python,25
211,1.4778177738189697,10493,Swift,42
212,2.13516902923584,11492,C++,41
213,1.3289740085601807,4123,Python,15
214,1.471285104751587,6427,Ruby,25
215,1.2301056385040283,4327,C++,16
216,1.3443500995635986,9882,Kotlin,35
217,1.042445182800293,2480,Python,9
218,0.7655737400054932,1620,Ruby,6
219,1.5804259777069092,6180,JavaScript,24
220,1.7724101543426514,11215,Go,41
221,1.6783559322357178,6431,JavaScript,25
222,1.8619298934936523,11513,Go,42
223,0.5759451389312744,527,Ruby,2
224,2.1921701431274414,26600,Python,46
225,1.0845458507537842,6135,Java,19
226,1.22837495803833,9211,Swift,37
227,1.589843988418579,10465,Go,38
228,1.4794418811798096,12445,Swift,50
229,1.9831418991088867,12605,C++,45
230,2.253455877304077,11823,JavaScript,44
231,0.8345699310302734,1356,Python,5
232,2.500195026397705,7883,Go,28
233,2.593338966369629,11902,Ruby,46
234,1.8503239154815674,12750,Ruby,49
235,1.5777170658111572,10711,Kotlin,38
236,1.3675971031188965,5660,Ruby,22
237,1.9575836658477783,3818,JavaScript,15
238,1.674164056777954,13965,Java,45
239,2.0464131832122803,11381,Ruby,44
240,2.0460169315338135,1706,Kotlin,7
241,2.7329750061035156,3709,Swift,15
242,1.7610321044921875,5007,Go,19
243,1.6049392223358154,9993,Swift,40
244,1.1783239841461182,6869,Kotlin,25
245,2.7371160984039307,4549,C++,17
246,1.4380862712860107,8512,Kotlin,30
247,2.276900053024292,3780,Java,12
248,1.6465840339660645,3966,Swift,16
249,2.126178026199341,333,Java,1
250,1.6203398704528809,10689,Swift,43
251,4.914139032363892,13843,C++,49
252,1.948425054550171,10226,C++,36
253,2.8346011638641357,8280,JavaScript,32
254,1.1704471111297607,5609,Swift,22
255,1.1332101821899414,2085,JavaScript,8
256,1.10909104347229,3468,Go,13
257,1.063962697982788,5861,Swift,23
258,1.1750431060791016,6889,Go,25
259,1.061452865600586,5220,Swift,21
260,1.6041309833526611,7960,C++,28
261,1.4561548233032227,12445,Swift,50
262,1.8621289730072021,11492,C++,41
263,1.6018218994140625,11215,Go,41
264,1.6369619369506836,22071,Python,29
265,1.2088730335235596,9211,Swift,37
266,1.2821500301361084,2313,JavaScript,9
267,1.7894320487976074,10910,Swift,44
268,2.51885724067688,8951,Java,29
269,2.2698638439178467,10333,JavaScript,39
270,1.4170300960540771,6125,Ruby,24
271,0.9182841777801514,2666,Java,7
272,0.5499532222747803,253,Swift,1
273,1.0618150234222412,1607,Python,6
274,1.9434618949890137,7243,JavaScript,28
275,0.9549031257629395,3042,Java,9
276,0.6111481189727783,684,Swift,3
277,1.3594000339508057,8050,Ruby,31
278,1.4763410091400146,9759,Swift,39
279,1.3452632427215576,20674,Python,25
280,0.9042630195617676,5721,Kotlin,21
281,1.954463005065918,7980,JavaScript,31
282,1.9929258823394775,6676,JavaScript,26
283,0.9600620269775391,301,JavaScript,1
284,1.6779210567474365,13332,Go,47
285,1.3941209316253662,9520,Swift,38
286,1.6463499069213867,5935,JavaScript,23
287,0.9751121997833252,5861,Swift,23
288,1.7680811882019043,10134,Go,37
289,1.5754139423370361,6678,Ruby,26
290,3.0088229179382324,24887,Python,39
291,2.5021870136260986,11823,JavaScript,44
292,1.5746150016784668,6671,Java,21
293,0.7660353183746338,800,Ruby,3
294,1.366508960723877,10910,Swift,44
295,1.026888132095337,3296,Python,12
296,1.3028819561004639,5546,Java,17
297,1.770353078842163,3229,Swift,13
298,1.658445119857788,22551,Python,31
299,1.0108511447906494,2191,C++,8
300,0.9654028415679932,2137,Kotlin,8
301,1.7816288471221924,7471,JavaScript,29
302,1.6231708526611328,12123,Kotlin,44
303,2.862623929977417,14431,Java,47
304,0.9500839710235596,2847,Java,8
305,1.7933621406555176,9390,Java,31
306,2.077315092086792,10684,Ruby,41
307,0.8720049858093262,2557,Swift,10
308,1.6778008937835693,23040,Python,33
309,1.446934700012207,10134,Go,37
310,0.8977000713348389,4511,Swift,18
311,1.9889678955078125,7722,JavaScript,30
312,1.2155859470367432,6427,Ruby,25
313,2.0049448013305664,12750,Ruby,49
314,1.7133266925811768,13270,Java,43
315,1.5726699829101562,20379,Python,24
316,1.3689188957214355,4327,C++,16
317,1.580735445022583,9371,Ruby,36
318,1.463752269744873,3818,JavaScript,15
319,1.0211970806121826,1076,JavaScript,4
320,1.4593818187713623,6272,Go,23
321,1.6540000438690186,14203,Java,46
322,1.5171761512756348,5935,JavaScript,23
323,1.2297208309173584,3296,Python,12
324,2.195082187652588,9198,JavaScript,34
325,1.3714990615844727,3702,Go,14
326,1.0643589496612549,4783,Go,18
327,2.024127960205078,12579,JavaScript,47
328,1.0215537548065186,1898,C++,7
329,1.7157971858978271,10724,C++,38
330,0.9546289443969727,909,JavaScript,3
331,3.4891197681427,7287,Kotlin,27
332,0.7554581165313721,769,Kotlin,3
333,1.1676499843597412,4084,Kotlin,16
334,0.9590978622436523,3665,Kotlin,14
335,0.9597480297088623,4084,Kotlin,16
336,1.4775171279907227,8050,Ruby,31
337,1.158134937286377,1588,JavaScript,6
338,0.7125067710876465,1841,Swift,7
339,0.6042759418487549,442,Swift,2
340,1.7081432342529297,13893,Go,49
341,1.5527958869934082,12202,Swift,49
342,1.577366828918457,9761,Java,32
343,1.1650748252868652,2584,JavaScript,10
344,1.4762961864471436,20995,Python,26
345,1.8807880878448486,4327,C++,16
346,0.9616117477416992,301,JavaScript,1
347,1.4753100872039795,3533,JavaScript,14
348,1.483180046081543,6663,Kotlin,24
349,1.8877849578857422,25639,Python,42
350,1.6803028583526611,12372,C++,44
351,1.0942068099975586,4482,Ruby,18
352,1.134200096130371,2925,C++,11
353,1.4859089851379395,10749,Go,39
354,1.5069639682769775,6473,C++,24
355,1.2208912372589111,5895,Ruby,23
356,0.9245681762695312,2476,Go,9
357,1.6162962913513184,10464,C++,37
358,1.6754677295684814,13151,Kotlin,48
359,1.0676870346069336,4701,Swift,19
360,1.3694541454315186,4244,Ruby,17
361,1.373203992843628,7840,Ruby,30
362,1.9843111038208008,10465,Go,38
363,1.1683950424194336,3184,C++,12
364,1.7805581092834473,22071,Python,29
365,1.3069179058074951,7109,C++,25
366,1.7402749061584473,9709,C++,34
367,1.0960030555725098,5620,Go,21
368,0.6963839530944824,1841,Swift,7
369,1.5481810569763184,7960,C++,28
370,1.341402292251587,7633,Go,27
371,1.4731559753417969,6433,Java,20
372,1.5843100547790527,9172,Ruby,35
373,1.6315181255340576,9437,C++,33
374,0.9937291145324707,3861,Kotlin,15
375,1.391584873199463,2313,JavaScript,9
376,1.5770931243896484,13626,Java,44
377,1.787269115447998,13680,Go,48
378,2.090104818344116,9437,C++,33
379,1.0966699123382568,8512,Kotlin,30
380,2.0059611797332764,26600,Python,46
381,0.8019120693206787,510,Kotlin,2
382,2.094766139984131,25639,Python,42
383,1.239009141921997,11556,Kotlin,42
384,1.8396260738372803,24627,Python,38
385,1.3386502265930176,6953,Ruby,27
386,1.492293119430542,9155,C++,32
387,1.4692211151123047,10711,Kotlin,38
388,0.7564733028411865,2078,Swift,8
389,1.879446029663086,10097,JavaScript,38
390,1.172163724899292,5989,Kotlin,22
391,2.317629098892212,12973,Ruby,50
392,0.5895869731903076,456,Go,2
393,2.0326459407806396,12215,Ruby,47
394,1.2744901180267334,2191,C++,8
395,0.9705238342285156,2177,Python,8
396,1.3761370182037354,9183,Java,30
397,0.9411437511444092,4968,Swift,20
398,1.0914511680603027,8512,Kotlin,30
399,1.0640311241149902,3780,Java,12
400,0.9606039524078369,2666,Java,7
401,0.976593017578125,970,Python,4
402,1.164377212524414,6728,Swift,27
403,1.5687930583953857,9920,Ruby,38
404,1.448430061340332,10134,Go,37
405,1.401747226715088,4691,Python,17
406,0.9610180854797363,2152,Ruby,8
407,1.5351808071136475,11765,Java,39
408,1.727139949798584,7607,C++,27
409,2.1459288597106934,22551,Python,31
410,1.2196729183197021,4101,Java,13
411,1.0644278526306152,301,JavaScript,1
412,1.0625519752502441,1898,C++,7
413,0.9641189575195312,5484,Kotlin,20
414,1.1688549518585205,3476,C++,13
415,1.7745389938354492,24627,Python,38
416,1.8998057842254639,8280,JavaScript,32
417,1.5782392024993896,11215,Go,41
418,1.9542248249053955,10684,Ruby,41
419,0.9964389801025391,2622,Kotlin,10
420,2.4973580837249756,13502,JavaScript,50
421,2.2994282245635986,11823,JavaScript,44
422,0.8569819927215576,568,C++,2
423,0.6352169513702393,2557,Swift,10
424,1.186305046081543,5298,Java,16
425,1.881263017654419,11215,Go,41
426,0.7893507480621338,1548,Swift,6
427,1.3426048755645752,4549,C++,17
428,1.4755327701568604,8797,Kotlin,31
429,1.5742828845977783,9390,Java,31
430,1.5782701969146729,11012,Go,40
431,1.538625955581665,18846,Python,20
432,1.609705924987793,8912,C++,31
433,1.2760369777679443,19496,Python,22
434,1.0682568550109863,5484,Kotlin,20
435,0.7610869407653809,1841,Swift,7
436,0.9981667995452881,4183,Go,16
437,0.8270978927612305,768,Java,2
438,2.2927589416503906,11823,JavaScript,44
439,1.062704086303711,2655,C++,10
440,1.5784027576446533,6125,Ruby,24
441,0.787426233291626,232,Go,1
442,1.6493000984191895,10937,Kotlin,39
443,1.0488951206207275,7287,Kotlin,27
444,4.252073764801025,12528,Ruby,48
445,1.6856210231781006,10749,Go,39
446,1.146425724029541,6889,Go,25
447,0.8188109397888184,2026,Java,5
448,3.7370262145996094,25118,Python,40
449,1.97538423538208,1076,JavaScript,4
450,2.1591291427612305,11888,Go,43
451,1.3175230026245117,1459,Kotlin,6
452,0.7318341732025146,3105,Kotlin,12
453,1.2824430465698242,5298,Java,16
454,1.2378554344177246,2622,Kotlin,10
455,2.2180628776550293,8397,Java,27
456,2.5552659034729004,7539,Swift,30
457,3.0145459175109863,7817,Kotlin,29
458,3.1169331073760986,8273,Swift,33
459,0.8697028160095215,1008,Kotlin,4
460,2.2792179584503174,2666,Java,7
461,1.8690030574798584,7210,Ruby,28
462,2.302495002746582,5093,Ruby,20
463,2.0641329288482666,12372,C++,44
464,0.7777068614959717,1548,Swift,6
465,1.0619699954986572,6728,Swift,27
466,1.275742769241333,10689,Swift,43
467,1.6569490432739258,21232,Python,27
468,1.071092128753662,3570,Python,13
469,1.8003919124603271,25118,Python,40
470,1.5276539325714111,11441,Java,38
471,1.6162478923797607,13332,Go,47
472,1.7975549697875977,24887,Python,39
473,0.7525770664215088,510,Kotlin,2
474,1.7844080924987793,25118,Python,40
475,1.7859749794006348,10439,Ruby,40
476,0.8571059703826904,768,Java,2
477,1.1668968200683594,2584,JavaScript,10
478,0.8568010330200195,2370,Kotlin,9
479,1.7799980640411377,9172,Ruby,35
480,0.7591421604156494,291,C++,1
481,2.193580150604248,26600,Python,46
482,1.2796921730041504,7153,Go,26
483,1.0505120754241943,1865,Python,7
484,1.884951114654541,11988,Java,40
485,1.8848278522491455,9390,Java,31
486,1.2153041362762451,2655,C++,10
487,3.2916178703308105,25639,Python,42
488,2.3701720237731934,11823,JavaScript,44
489,0.5626330375671387,938,Swift,4
490,1.1889660358428955,9314,Kotlin,33
491,1.1207280158996582,8744,Swift,35
492,1.6499102115631104,11489,Swift,46
493,1.215712070465088,6135,Java,19
494,1.1566669940948486,3547,Java,11
495,1.4710359573364258,8125,Java,26
496,1.4759972095489502,9993,Swift,40
497,0.7526540756225586,1008,Kotlin,4
498,1.2684500217437744,3296,Python,12
499,1.3757860660552979,5897,Go,22
